@relation RiesgoArticularDataset

@attribute edad numeric
@attribute raza {PASTOR_ALEMAN,GOLDEN_RETRIEVER,BULLDOG,CHIHUAHUA,MESTIZO,OTRA}
@attribute peso {SOBREPESO,NORMAL,BAJO_PESO}
@attribute riesgo_articular {ALTO,MEDIO,BAJO}

@data
7,BULLDOG,SOBREPESO,ALTO
9,MESTIZO,SOBREPESO,ALTO
10,CHIHUAHUA,SOBREPESO,ALTO
15,BULLDOG,NORMAL,ALTO
6,OTRA,NORMAL,MEDIO
18,OTRA,NORMAL,ALTO
6,OTRA,BAJO_PESO,MEDIO
2,OTRA,NORMAL,BAJO
8,MESTIZO,SOBREPESO,ALTO
8,CHIHUAHUA,BAJO_PESO,ALTO
12,PASTOR_ALEMAN,NORMAL,ALTO
17,CHIHUAHUA,NORMAL,ALTO
14,PASTOR_ALEMAN,NORMAL,ALTO
4,PASTOR_ALEMAN,NORMAL,ALTO
10,GOLDEN_RETRIEVER,BAJO_PESO,ALTO
12,BULLDOG,NORMAL,ALTO
13,GOLDEN_RETRIEVER,BAJO_PESO,ALTO
8,BULLDOG,BAJO_PESO,ALTO
9,CHIHUAHUA,BAJO_PESO,ALTO
6,BULLDOG,NORMAL,ALTO
5,MESTIZO,SOBREPESO,MEDIO
4,MESTIZO,BAJO_PESO,BAJO
4,CHIHUAHUA,NORMAL,BAJO
7,GOLDEN_RETRIEVER,BAJO_PESO,ALTO
12,MESTIZO,NORMAL,ALTO
18,GOLDEN_RETRIEVER,BAJO_PESO,ALTO
7,GOLDEN_RETRIEVER,SOBREPESO,ALTO
10,BULLDOG,SOBREPESO,ALTO
1,PASTOR_ALEMAN,BAJO_PESO,ALTO
4,MESTIZO,SOBREPESO,MEDIO
10,BULLDOG,NORMAL,ALTO
18,CHIHUAHUA,SOBREPESO,ALTO
6,PASTOR_ALEMAN,SOBREPESO,ALTO
8,PASTOR_ALEMAN,BAJO_PESO,ALTO
14,MESTIZO,NORMAL,ALTO
10,OTRA,SOBREPESO,ALTO
2,MESTIZO,BAJO_PESO,BAJO
12,OTRA,BAJO_PESO,ALTO
2,CHIHUAHUA,NORMAL,BAJO
18,BULLDOG,BAJO_PESO,ALTO
13,MESTIZO,NORMAL,ALTO
1,BULLDOG,NORMAL,ALTO
4,OTRA,BAJO_PESO,BAJO
9,PASTOR_ALEMAN,SOBREPESO,ALTO
9,CHIHUAHUA,NORMAL,ALTO
11,CHIHUAHUA,BAJO_PESO,ALTO
6,OTRA,NORMAL,MEDIO
4,BULLDOG,SOBREPESO,ALTO
11,BULLDOG,NORMAL,ALTO
4,GOLDEN_RETRIEVER,SOBREPESO,ALTO
16,OTRA,NORMAL,ALTO
9,BULLDOG,SOBREPESO,ALTO
13,OTRA,NORMAL,MEDIO
12,MESTIZO,BAJO_PESO,ALTO
17,OTRA,NORMAL,ALTO
13,CHIHUAHUA,BAJO_PESO,MEDIO
14,OTRA,SOBREPESO,ALTO
17,OTRA,NORMAL,ALTO
16,PASTOR_ALEMAN,NORMAL,ALTO
1,CHIHUAHUA,NORMAL,BAJO
13,GOLDEN_RETRIEVER,NORMAL,ALTO
13,GOLDEN_RETRIEVER,NORMAL,ALTO
6,MESTIZO,BAJO_PESO,MEDIO
7,PASTOR_ALEMAN,SOBREPESO,ALTO
16,GOLDEN_RETRIEVER,BAJO_PESO,ALTO
9,GOLDEN_RETRIEVER,SOBREPESO,ALTO
2,CHIHUAHUA,NORMAL,BAJO
6,GOLDEN_RETRIEVER,SOBREPESO,ALTO
11,GOLDEN_RETRIEVER,BAJO_PESO,ALTO
10,OTRA,BAJO_PESO,ALTO
5,OTRA,BAJO_PESO,MEDIO
8,PASTOR_ALEMAN,SOBREPESO,ALTO
1,MESTIZO,BAJO_PESO,BAJO
5,MESTIZO,SOBREPESO,MEDIO
10,CHIHUAHUA,SOBREPESO,ALTO
2,PASTOR_ALEMAN,BAJO_PESO,ALTO
16,CHIHUAHUA,NORMAL,ALTO
15,PASTOR_ALEMAN,BAJO_PESO,ALTO
5,BULLDOG,NORMAL,ALTO
